"coeff_name","estimate","std"
"tau.s(ID).1",0.000297676660932234,NA
"tau.s(ID).2",0.00347970549960759,NA
"tau.s(ID).3",0.00518220440236407,NA
"tau.s(ID).4",-0.00254815810445663,NA
"tau.s(ID).5",0.00287122959391353,NA
"tau.s(ID).6",0.0062867522026587,NA
"nu.s(ID).1",-0.000641025018363474,NA
"nu.s(ID).2",-0.00745156887089692,NA
"nu.s(ID).3",-0.0110774779217427,NA
"nu.s(ID).4",0.00545090265687862,NA
"nu.s(ID).5",-0.00615043468563045,NA
"nu.s(ID).6",-0.0134539351938658,NA
"omega.te(theta,Ishore).1",-18.6991554756961,NA
"omega.te(theta,Ishore).2",-11.7453880014593,NA
"omega.te(theta,Ishore).3",-4.63678160068195,NA
"omega.te(theta,Ishore).4",25.6209492253798,NA
"omega.te(theta,Ishore).5",6.47523011400528,NA
"omega.te(theta,Ishore).6",11.8110700510034,NA
"omega.te(theta,Ishore).7",6.26900114470115,NA
"omega.te(theta,Ishore).8",8.68587218120611,NA
"omega.te(theta,Ishore).9",-10.366487889191,NA
"omega.te(theta,Ishore).10",8.56884903262937,NA
"omega.te(theta,Ishore).11",3.21485642059956,NA
"omega.te(theta,Ishore).12",-4.78690216154457,NA
"omega.te(theta,Ishore).13",9.73956021348594,NA
"omega.te(theta,Ishore).14",14.7732181377923,NA
"omega.te(theta,Ishore).15",-0.969137686360814,NA
"omega.te(theta,Ishore).16",8.37895629852284,NA
"omega.te(theta,Ishore).17",4.1919326094088,NA
"omega.te(theta,Ishore).18",6.6887948173567,NA
"omega.te(theta,Ishore).19",-13.5319611864318,NA
"omega.te(theta,Ishore).20",-0.561927256442265,NA
"omega.te(theta,Ishore).21",4.85952298170675,NA
"omega.te(theta,Ishore).22",1.50255086661756,NA
"omega.te(theta,Ishore).23",2.06421588007808,NA
"omega.te(theta,Ishore).24",7.92180953052521,NA
"mu1.(Intercept)",0,NA
"mu2.(Intercept)",0,NA
"tau.(Intercept)",5.81680781506899,NA
"nu.(Intercept)",4.2347236940306,NA
"omega.(Intercept)",-0.930733384465457,NA
"tau.s(ID)",6.56702772640702,NA
"nu.s(ID)",6.49964461959558,NA
"omega.te(theta,Ishore)",-14.8581727565668,NA
"omega.te(theta,Ishore)",-5.40880226046458,NA
"log_sigma_obs",0,NA
"a",2,NA
"b",2.86479956673894,NA
"D0",0.898468340780876,NA
"D1",0.000145987591117251,NA
"sigma_D",1395.50309400407,NA
"sigma_theta",0.964720870486101,NA
