"coeff_name","estimate","std"
"tau.s(ID).1",-2.45779592737863e-05,NA
"tau.s(ID).2",-9.76801430434294e-06,0.00191674308805615
"tau.s(ID).3",2.57550192961693e-05,NA
"tau.s(ID).4",1.30222719654736e-06,0.00224986476604355
"tau.s(ID).5",3.31061979172431e-05,NA
"tau.s(ID).6",-2.58985429925408e-05,NA
"nu.s(ID).1",0.255921990559744,0.0774937720562385
"nu.s(ID).2",0.0250030379386701,0.0779107328625332
"nu.s(ID).3",-0.0109579739003761,0.0778655396459971
"nu.s(ID).4",-0.00804701615837405,0.0780213817751369
"nu.s(ID).5",-0.3228666185051,0.079967834063886
"nu.s(ID).6",0.0572744308706689,0.0786080981031751
"mu1.(Intercept)",0,NA
"mu2.(Intercept)",0,NA
"tau.(Intercept)",0.20315409333872,0.138634955347716
"nu.(Intercept)",1.51977924691203,0.0979003425099403
"tau.s(ID)",12.1887510209149,NA
"nu.s(ID)",3.49864873121741,0.604921515506197
"log_sigma_obs",0,NA
