"coeff_name","estimate","std"
"tau.s(ID).1",-0.426052497674094,0.322047150538864
"tau.s(ID).2",0.175870062876835,0.265357026639485
"tau.s(ID).3",0.158319395124803,0.260560253574816
"tau.s(ID).4",-0.214853837100958,0.287495656239562
"tau.s(ID).5",0.492613951250785,0.429117461360013
"tau.s(ID).6",-0.337510494673908,0.296878102725451
"nu.s(ID).1",-0.13010729641311,0.141373837241326
"nu.s(ID).2",-0.0127105679558592,0.125337048652652
"nu.s(ID).3",0.0263389536257274,0.12380098548488
"nu.s(ID).4",0.225280965516929,0.137417410484634
"nu.s(ID).5",-0.299263244984134,0.199905135193074
"nu.s(ID).6",0.103904165899487,0.136322498684138
"mu1.(Intercept)",0,NA
"mu2.(Intercept)",0,NA
"tau.(Intercept)",0.0334146019157102,0.217494967796105
"nu.(Intercept)",1.43167193188699,0.104049501728729
"tau.s(ID)",1.85790854311044,1.02316131202858
"nu.s(ID)",3.25445032043175,0.897305850124585
"log_sigma_obs",0,NA
