"coeff_name","estimate"
"tau.s(ID).1",0.0614903176547166
"tau.s(ID).2",0.18081555752019
"tau.s(ID).3",-0.483833759403697
"tau.s(ID).4",0.114762478310934
"tau.s(ID).5",0.24053059037013
"tau.s(ID).6",-0.106839214077794
"nu.s(ID).1",0.00019134840086887
"nu.s(ID).2",-0.00162246198096333
"nu.s(ID).3",0.0023291001900203
"nu.s(ID).4",-0.000149369587406974
"nu.s(ID).5",-0.00145441165921498
"nu.s(ID).6",0.000655824588555892
"mu1.(Intercept)",0
"mu2.(Intercept)",0
"tau.(Intercept)",-0.0264062366959396
"nu.(Intercept)",1.33864796786418
"tau.s(ID)",0.254702486118152
"nu.s(ID)",0.0119832774979192
"log_sigma_obs",0
