"coeff_name","estimate"
"tau.s(ID).1",-5.16746537069163e-08
"tau.s(ID).2",-2.192314735271e-08
"tau.s(ID).3",-1.45886943175235e-07
"tau.s(ID).4",-4.0537354448256e-08
"tau.s(ID).5",-1.20154964196198e-07
"tau.s(ID).6",-1.11972558906289e-07
"tau.s(ID).7",-2.81393024077885e-07
"tau.s(ID).8",1.72109621298823e-07
"tau.s(ID).9",1.8417257881344e-07
"tau.s(ID).10",7.63799809964523e-08
"tau.s(ID).11",1.84987033258413e-07
"tau.s(ID).12",1.49366628015633e-07
"nu.s(ID).1",-0.0616172324192782
"nu.s(ID).2",-0.107640337821518
"nu.s(ID).3",0.188760193780153
"nu.s(ID).4",0.185363315092912
"nu.s(ID).5",0.124863983914365
"nu.s(ID).6",-0.03584774298146
"nu.s(ID).7",0.228973528319554
"nu.s(ID).8",-0.125230343150426
"nu.s(ID).9",-0.239724002447027
"nu.s(ID).10",-0.0939503973187177
"nu.s(ID).11",-0.0935852182209781
"nu.s(ID).12",0.0132452060737856
"mu1.(Intercept)",0
"mu2.(Intercept)",0
"tau.(Intercept)",0.195776044376232
"nu.(Intercept)",1.45211393064645
"tau.s(ID)",0.000199518563775785
"nu.s(ID)",0.155496388457982
"log_sigma_obs",0
