"coeff_name","estimate","std"
"tau.s(ID).1",-0.37029371096706,0.145135092133337
"tau.s(ID).2",-0.408627464197423,0.154980699196147
"tau.s(ID).3",0.252454629737044,0.145784475837948
"tau.s(ID).4",-0.0138627559220766,0.144777114078973
"tau.s(ID).5",0.36816176988578,0.15885027010101
"tau.s(ID).6",0.181283478909634,0.145899618290607
"nu.s(ID).1",0.00033123420984613,0.0124783637538557
"nu.s(ID).2",0.00119379940673352,0.0304460528326705
"nu.s(ID).3",-0.00018081703761906,0.0104585074894636
"nu.s(ID).4",4.28517146687468e-05,0.00953380340509687
"nu.s(ID).5",-0.00123761498383399,0.0315918933084965
"nu.s(ID).6",-0.000168968351658769,0.01033370193974
"tau.(Intercept)",0.393097967418225,0.195753225097569
"nu.(Intercept)",1.49239258902584,0.0729646928105412
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",2.34665647603277,0.626948272668903
"nu.s(ID)",9.31263955372064,24.3679323286916
"log_sigma_obs",0,NA
