"coeff_name","estimate","std"
"tau.s(ID).1",-0.304326616760861,0.147793348944404
"tau.s(ID).2",-0.250716522098869,0.157478495672731
"tau.s(ID).3",0.143541738571195,0.143447114005695
"tau.s(ID).4",-0.154296528189896,0.146273254176233
"tau.s(ID).5",0.0244364879717839,0.161168231296391
"tau.s(ID).6",-0.166740807548067,0.146381388940137
"tau.s(ID).7",0.193090335550841,0.143426673587328
"tau.s(ID).8",0.102739304518737,0.157029182928584
"tau.s(ID).9",-0.199019163170861,0.147295797047966
"tau.s(ID).10",0.228920642444446,0.154962112286014
"tau.s(ID).11",-0.189985624152209,0.144920560869129
"tau.s(ID).12",0.465036137258109,0.167795779392687
"nu.s(ID).1",0.178616451809414,0.0659181645490217
"nu.s(ID).2",-0.0938768593166749,0.0681251649365707
"nu.s(ID).3",0.0640146277182783,0.0637589592488576
"nu.s(ID).4",0.00953454599748895,0.063526934196564
"nu.s(ID).5",-0.12935073335005,0.0722540767775613
"nu.s(ID).6",-0.00609143355746275,0.063710843326233
"nu.s(ID).7",0.0881981102170783,0.0641916028587189
"nu.s(ID).8",-0.0967216032672512,0.0694946295726764
"nu.s(ID).9",-0.00282921997208791,0.0640394209267819
"nu.s(ID).10",-0.0683041966506744,0.0684345688538056
"nu.s(ID).11",0.0820626974929732,0.0635394281781319
"nu.s(ID).12",-0.0865350803138972,0.0736257523533298
"tau.(Intercept)",-0.484805901232895,0.0917111639683115
"nu.(Intercept)",1.40088303009151,0.0389361059475018
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",2.68593366860699,0.549213151745302
"nu.s(ID)",4.47160152686903,0.573700784006054
"log_sigma_obs",0,NA
