"coeff_name","estimate","std"
"tau.s(ID).1",0.000179163392518752,0.00788145756862071
"tau.s(ID).2",-0.000357991901652169,0.00945088198300957
"tau.s(ID).3",0.000423054838094089,0.0101801325624084
"tau.s(ID).4",-0.000112813688392837,0.00751989010857272
"tau.s(ID).5",9.26235130313799e-05,0.00744092054812201
"tau.s(ID).6",-0.000225259958372984,0.00820970863635808
"nu.s(ID).1",0.166622137181681,0.0441392664635832
"nu.s(ID).2",0.0146204215392233,0.0440919048305083
"nu.s(ID).3",-0.120982772145827,0.0446221810399619
"nu.s(ID).4",0.00651863730040666,0.0437019176621144
"nu.s(ID).5",-0.013407701147366,0.0442778124357717
"nu.s(ID).6",-0.0550653519156067,0.0439097949050189
"tau.(Intercept)",-0.00487873667570405,0.0864453896702597
"nu.(Intercept)",1.37637707799688,0.055914660920463
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",9.84434000902739,16.8788632272216
"nu.s(ID)",4.7931507866573,0.6245366529464
"log_sigma_obs",0,NA
