"coeff_name","estimate","std"
"tau.s(ID).1",-0.788519773336285,NA
"tau.s(ID).2",-0.672538330015926,NA
"tau.s(ID).3",-0.919501457675745,NA
"tau.s(ID).4",-1.23481904525857,NA
"tau.s(ID).5",-0.115265360955695,NA
"tau.s(ID).6",-0.259876675814445,NA
"nu.s(ID).1",1.42952099844941,NA
"nu.s(ID).2",1.19349865190408,NA
"nu.s(ID).3",1.66870836818435,NA
"nu.s(ID).4",1.50131578560145,NA
"nu.s(ID).5",1.00415995398441,NA
"nu.s(ID).6",1.29538172699989,NA
"tau.(Intercept)",0,NA
"nu.(Intercept)",0,NA
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",1.38629436111989,NA
"nu.s(ID)",1.38629436111989,NA
"log_sigma_obs",0,NA
