"coeff_name","estimate","std"
"tau.s(ID).1",-0.302257818124269,NA
"tau.s(ID).2",-0.776286209921907,NA
"tau.s(ID).3",-0.0397766408362611,NA
"tau.s(ID).4",-0.292828902808788,NA
"tau.s(ID).5",-0.240817328230538,NA
"tau.s(ID).6",-0.550934574903822,NA
"tau.s(ID).7",-0.472635660303906,NA
"tau.s(ID).8",-0.966607344821121,NA
"tau.s(ID).9",-0.197976566694855,NA
"tau.s(ID).10",-0.017195164402611,NA
"tau.s(ID).11",-0.476152209827301,NA
"tau.s(ID).12",-0.0733861626219056,NA
"nu.s(ID).1",1.26428473222688,NA
"nu.s(ID).2",1.26708086660797,NA
"nu.s(ID).3",1.13626751520647,NA
"nu.s(ID).4",1.22573411917209,NA
"nu.s(ID).5",0.999237770890461,NA
"nu.s(ID).6",1.21566879793619,NA
"nu.s(ID).7",1.42255844359046,NA
"nu.s(ID).8",1.56099859167234,NA
"nu.s(ID).9",1.12411168654638,NA
"nu.s(ID).10",1.16811394395963,NA
"nu.s(ID).11",1.18691253833,NA
"nu.s(ID).12",1.04354720714224,NA
"tau.(Intercept)",1.70486819467396e-05,NA
"nu.(Intercept)",1.12323765722757e-05,NA
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",1.3863104991128,NA
"nu.s(ID)",1.38614587023572,NA
"log_sigma_obs",0,NA
