"coeff_name","estimate"
"tau.s(ID).1",-0.0105147490110085
"tau.s(ID).2",0.00221113682685355
"tau.s(ID).3",-0.00792320257400462
"tau.s(ID).4",-0.00143085037574602
"tau.s(ID).5",0.0112959955413274
"tau.s(ID).6",0.00859038053525418
"nu.s(ID).1",0.0546798277106881
"nu.s(ID).2",-0.0634609792862795
"nu.s(ID).3",0.12304680495736
"nu.s(ID).4",0.115326175318969
"nu.s(ID).5",-0.228566231653666
"nu.s(ID).6",-0.032915304411473
"omega.te(theta,Ishore).1",-9.51265584998423
"omega.te(theta,Ishore).2",-20.467738711513
"omega.te(theta,Ishore).3",-36.7614063641367
"omega.te(theta,Ishore).4",-242.572970971183
"omega.te(theta,Ishore).5",-2.8027436166846
"omega.te(theta,Ishore).6",0.736029590594678
"omega.te(theta,Ishore).7",1.13432016576532
"omega.te(theta,Ishore).8",-1.96135245559889
"omega.te(theta,Ishore).9",1.55811589073291
"omega.te(theta,Ishore).10",-0.332055235189109
"omega.te(theta,Ishore).11",-2.03384820605576
"omega.te(theta,Ishore).12",-1.92466437758948
"omega.te(theta,Ishore).13",-2.98396140368122
"omega.te(theta,Ishore).14",-6.37167985066534
"omega.te(theta,Ishore).15",1.25224650140255
"omega.te(theta,Ishore).16",-3.10392374146254
"omega.te(theta,Ishore).17",-0.307611014142827
"omega.te(theta,Ishore).18",-0.988010318483522
"omega.te(theta,Ishore).19",2.70072365383284
"omega.te(theta,Ishore).20",0.60053245454977
"omega.te(theta,Ishore).21",7.4154726013766
"omega.te(theta,Ishore).22",24.8889411064245
"omega.te(theta,Ishore).23",45.802943184349
"omega.te(theta,Ishore).24",195.123780368694
"mu1.(Intercept)",0
"mu2.(Intercept)",0
"tau.(Intercept)",0.265668336844705
"nu.(Intercept)",1.39004176338153
"omega.(Intercept)",0.272487618117475
"tau.s(ID)",0.0415135675057311
"nu.s(ID)",0.129282202246663
"omega.te(theta,Ishore)",1339.49209434792
"omega.te(theta,Ishore)",21.2934655392159
"log_sigma_obs",0
