"coeff_name","estimate"
"tau.s(ID).1",-6.815711778145e-06
"tau.s(ID).2",7.46731082291804e-05
"tau.s(ID).3",1.56136221740752e-05
"tau.s(ID).4",-1.50370925953924e-05
"tau.s(ID).5",0.000244062426631981
"tau.s(ID).6",-0.000120924714468385
"tau.s(ID).7",1.15908047397043e-05
"tau.s(ID).8",-9.67805312462315e-07
"tau.s(ID).9",-4.73842153728149e-05
"tau.s(ID).10",-3.79628125439053e-05
"tau.s(ID).11",-5.54415021080089e-05
"tau.s(ID).12",-6.24413465327062e-05
"nu.s(ID).1",-0.0692873663313223
"nu.s(ID).2",-0.258243678380433
"nu.s(ID).3",-0.121237840669535
"nu.s(ID).4",0.0497660808358383
"nu.s(ID).5",-0.347841072759342
"nu.s(ID).6",0.138436209598994
"nu.s(ID).7",0.0096680876518058
"nu.s(ID).8",-0.00155227544437105
"nu.s(ID).9",-0.0334908951391592
"nu.s(ID).10",0.0890443195518675
"nu.s(ID).11",0.361382101211253
"nu.s(ID).12",0.174314303159406
"mu1.(Intercept)",0
"mu2.(Intercept)",0
"tau.(Intercept)",0.00310958286032342
"nu.(Intercept)",1.40082758248034
"tau.s(ID)",0.00433853248885457
"nu.s(ID)",0.185780825001462
"log_sigma_obs",0
