"coeff_name","estimate","std"
"tau.s(ID).1",-0.138386286772773,0.252875009315391
"tau.s(ID).2",0.0771758497846374,0.15184030682782
"tau.s(ID).3",0.1291703946535,0.196785088756252
"tau.s(ID).4",-0.151602012421633,0.243319002864085
"tau.s(ID).5",0.0591648382795321,0.220888266204873
"tau.s(ID).6",0.0186129038273929,0.142357612558465
"nu.s(ID).1",0.121052057101705,0.128526770995085
"nu.s(ID).2",0.00399130564903266,0.0770801813106798
"nu.s(ID).3",-0.0431529707872196,0.0967619043760593
"nu.s(ID).4",0.0593005592035485,0.118753798707006
"nu.s(ID).5",-0.121061382294225,0.118931998947267
"nu.s(ID).6",-0.0273110537543171,0.0756427613688208
"tau.(Intercept)",0.715279643049763,0.20096318588074
"nu.(Intercept)",1.5928196408535,0.101448298858467
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",3.57357090303315,1.73000220470942
"nu.s(ID)",4.58671012437368,1.26980811736799
"log_sigma_obs",0,NA
