"coeff_name","estimate","std"
"tau.s(ID).1",-0.418917322593005,NA
"tau.s(ID).2",-0.284999774027042,NA
"tau.s(ID).3",-0.331808307953482,NA
"tau.s(ID).4",-0.288905278948995,NA
"tau.s(ID).5",-0.243027495834944,NA
"tau.s(ID).6",-0.327201736030547,NA
"tau.s(ID).7",-0.394765139796212,NA
"tau.s(ID).8",-0.207939005697394,NA
"tau.s(ID).9",-0.347817444317527,NA
"tau.s(ID).10",-0.265331797138126,NA
"tau.s(ID).11",-0.522244594564535,NA
"tau.s(ID).12",-0.15512071375556,NA
"nu.s(ID).1",1.33797124769586,NA
"nu.s(ID).2",1.16171115582614,NA
"nu.s(ID).3",1.20381833185091,NA
"nu.s(ID).4",1.15814883988582,NA
"nu.s(ID).5",0.963193639045596,NA
"nu.s(ID).6",1.1298442515214,NA
"nu.s(ID).7",1.2224148883832,NA
"nu.s(ID).8",1.06116235124701,NA
"nu.s(ID).9",1.15697107526834,NA
"nu.s(ID).10",0.98333515706519,NA
"nu.s(ID).11",1.28261600448245,NA
"nu.s(ID).12",0.94658377368255,NA
"tau.(Intercept)",0,NA
"nu.(Intercept)",0,NA
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",1.38629436111989,NA
"nu.s(ID)",1.38629436111989,NA
"log_sigma_obs",0,NA
