"coeff_name","estimate","std"
"tau.s(ID).1",-0.275318082686433,0.153855350055196
"tau.s(ID).2",-0.375094662242576,0.150330300158419
"tau.s(ID).3",-0.0227680376357936,0.154651539757614
"tau.s(ID).4",0.056403911569046,0.148795701332986
"tau.s(ID).5",0.265870007244913,0.162192652654146
"tau.s(ID).6",0.364775557955895,0.155796723407548
"nu.s(ID).1",0.0015523193567339,0.0228982994478707
"nu.s(ID).2",6.2302295546811e-05,0.0115633828386482
"nu.s(ID).3",-0.00103959949382351,0.0176224049858923
"nu.s(ID).4",0.000190022777686414,0.0117693994150813
"nu.s(ID).5",-0.00213093412621724,0.0297518104493213
"nu.s(ID).6",0.00129210474659171,0.0201252294046959
"tau.(Intercept)",-0.307131653601147,0.160639968905183
"nu.(Intercept)",1.48594358034865,0.0509597156698447
"a.(Intercept)",0.693147180559945,NA
"b.(Intercept)",1.38629436111989,NA
"D0.(Intercept)",-0.693147180559945,NA
"D1.(Intercept)",0,NA
"sigma_D.(Intercept)",-1.20397280432594,NA
"sigma_theta.(Intercept)",-0.647029583378655,NA
"tau.s(ID)",2.50853649740797,0.66174256835297
"nu.s(ID)",8.91703688637266,12.9723525035222
"log_sigma_obs",0,NA
