"coeff_name","estimate","true"
"tau.s(ID).1",-0.0287420498287803,-0.0431446202613345
"tau.s(ID).2",0.00456453981104648,0.0655647883402207
"tau.s(ID).3",-0.0174902224680536,0.0321925265203947
"tau.s(ID).4",-0.0235818319357928,-0.0783838940880375
"tau.s(ID).5",0.0604786502589268,0.157572751979198
"tau.s(ID).6",0.00309902526113991,0.0642899305717316
"nu.s(ID).1",0.0826786223863893,0.00897606465996057
"nu.s(ID).2",0.0168995721676123,0.0276550747291463
"nu.s(ID).3",0.0506034250853609,0.0679288816055271
"nu.s(ID).4",0.0632225462171282,0.00898328865790817
"nu.s(ID).5",-0.286467994187177,-0.299309008315294
"nu.s(ID).6",0.0651367784123104,0.0284882953530659
"omega.te(theta,DistanceShore).1",6.48754006925088,8.0260021942817
"omega.te(theta,DistanceShore).2",-6.33645808073118,-3.13946737028784
"omega.te(theta,DistanceShore).3",4.43909529984983,5.07775928247314
"omega.te(theta,DistanceShore).4",14.4734998736918,16.795206105931
"omega.te(theta,DistanceShore).5",-3.32393963262792,5.03398307494887
"omega.te(theta,DistanceShore).6",20.3634070921908,22.5183185722522
"omega.te(theta,DistanceShore).7",1.32199429609583,2.2040071653002
"omega.te(theta,DistanceShore).8",3.35278661892586,6.17041813390076
"mu1.(Intercept)",0,0
"mu2.(Intercept)",0,0
"tau.(Intercept)",0.0889346347470854,0
"nu.(Intercept)",1.41495759934052,1.38629436111989
"omega.(Intercept)",-0.135048417677452,0.00265779043803303
"tau.s(ID)",0.0834183008937476,0.1
"nu.s(ID)",0.139682241615358,0.1
"omega.te(theta,DistanceShore)",3.32847286441814,NA
"omega.te(theta,DistanceShore)",7.77861794894676,NA
