"coeff_name","true","biais","re_biais","rmse"
"tau.s(ID).1",-0.043,0.004,-9.018,0.06
"tau.s(ID).2",0.066,-0.075,-113.669,0.091
"tau.s(ID).3",0.032,-0.065,-202.462,0.091
"tau.s(ID).4",-0.078,0.023,-28.821,0.077
"tau.s(ID).5",0.158,-0.014,-8.992,0.176
"tau.s(ID).6",0.064,-0.081,-126.638,0.092
"nu.s(ID).1",0.009,0.037,410.068,0.048
"nu.s(ID).2",0.028,0.006,22.911,0.032
"nu.s(ID).3",0.068,0.007,9.743,0.037
"nu.s(ID).4",0.009,0.056,626.188,0.069
"nu.s(ID).5",-0.299,0.038,-12.815,0.097
"nu.s(ID).6",0.028,0.002,8.373,0.029
"omega.te(theta,DistanceShore).1",8.026,-0.971,-12.102,1.247
"omega.te(theta,DistanceShore).2",-3.139,-0.713,22.71,2.644
"omega.te(theta,DistanceShore).3",5.078,0.347,6.842,1.009
"omega.te(theta,DistanceShore).4",16.795,-1.164,-6.928,1.665
"omega.te(theta,DistanceShore).5",5.034,-6.224,-123.631,6.414
"omega.te(theta,DistanceShore).6",22.518,-2.041,-9.064,2.348
"omega.te(theta,DistanceShore).7",2.204,0.014,0.651,0.637
"omega.te(theta,DistanceShore).8",6.17,-2.611,-42.31,3.537
"mu1.(Intercept)",0,0,NA,0
"mu2.(Intercept)",0,0,NA,0
"tau.(Intercept)",0,0.026,NA,0.088
"nu.(Intercept)",1.386,-0.023,-1.695,0.048
"omega.(Intercept)",0.003,-0.022,-840.921,0.133
"tau.s(ID)",0.1,0.013,13.048,0.083
"nu.s(ID)",0.1,0.03,29.724,0.045
"omega.te(theta,DistanceShore)",NA,NA,NA,NA
