"coeff_name","true","biais","re_biais","rmse"
"tau.s(ID).1",0.151,-0.134,-88.543,0.134
"tau.s(ID).2",-0.009,0.002,-20.156,0.002
"tau.s(ID).3",0.202,-0.206,-102.039,0.206
"tau.s(ID).4",-0.006,-0.018,285.997,0.018
"tau.s(ID).5",0.13,-0.124,-94.65,0.124
"tau.s(ID).6",0.229,-0.217,-94.753,0.217
"nu.s(ID).1",-0.139,0.061,-44.07,0.061
"nu.s(ID).2",-0.028,0.106,-378.626,0.106
"nu.s(ID).3",-0.013,-0.01,71.706,0.01
"nu.s(ID).4",0.064,0.083,130.174,0.083
"nu.s(ID).5",-0.028,0.062,-218.261,0.062
"nu.s(ID).6",-0.266,0.103,-38.854,0.103
"omega.te(theta,DistanceShore).1",8.914,0.448,5.03,0.448
"omega.te(theta,DistanceShore).2",-3.387,0.539,-15.924,0.539
"omega.te(theta,DistanceShore).3",5.744,-1.753,-30.524,1.753
"omega.te(theta,DistanceShore).4",19.075,-1.811,-9.492,1.811
"omega.te(theta,DistanceShore).5",5.719,-5.38,-94.076,5.38
"omega.te(theta,DistanceShore).6",25.778,1.047,4.06,1.047
"omega.te(theta,DistanceShore).7",2.692,-0.703,-26.106,0.703
"omega.te(theta,DistanceShore).8",6.844,-0.471,-6.875,0.471
"mu1.(Intercept)",0,0,NA,0
"mu2.(Intercept)",0,0,NA,0
"tau.(Intercept)",0,0.122,NA,0.122
"nu.(Intercept)",1.386,-0.048,-3.445,0.048
"omega.(Intercept)",0.007,-0.53,-7651.818,0.53
"tau.s(ID)",0.1,-0.048,-48.239,0.048
"nu.s(ID)",0.1,0.006,6.193,0.006
"omega.te(theta,DistanceShore)",NA,NA,NA,NA
