"coeff_name","true","biais","re_biais","rmse"
"tau.s(ID).1",0.15,-0.08,-50.73,0.08
"tau.s(ID).2",-0.01,-0.26,2772.75,0.26
"tau.s(ID).3",0.2,-0.06,-31.48,0.06
"tau.s(ID).4",-0.01,-0.4,6422.52,0.4
"tau.s(ID).5",0.13,-0.21,-162.45,0.21
"tau.s(ID).6",0.23,0.33,146.28,0.33
"nu.s(ID).1",-0.14,0.13,-94.31,0.13
"nu.s(ID).2",-0.03,0.03,-119.64,0.03
"nu.s(ID).3",-0.01,0.01,-109.22,0.01
"nu.s(ID).4",0.06,-0.04,-57.12,0.04
"nu.s(ID).5",-0.03,0.03,-90.07,0.03
"nu.s(ID).6",-0.27,0.24,-90.24,0.24
"omega.te(theta,DistanceShore).1",7.42,0.52,7.04,0.52
"omega.te(theta,DistanceShore).2",-2.78,4.39,-157.67,4.39
"omega.te(theta,DistanceShore).3",4.05,1.56,38.44,1.56
"omega.te(theta,DistanceShore).4",14.34,0.5,3.52,0.5
"omega.te(theta,DistanceShore).5",4.31,-1.64,-38.07,1.64
"omega.te(theta,DistanceShore).6",34.38,-0.98,-2.84,0.98
"omega.te(theta,DistanceShore).7",-0.86,-0.93,108.67,0.93
"omega.te(theta,DistanceShore).8",8.82,-6.92,-78.51,6.92
"mu1.(Intercept)",0,0,NA,0
"mu2.(Intercept)",0,0,NA,0
"tau.(Intercept)",0,0.09,NA,0.09
"nu.(Intercept)",1.39,-0.07,-4.8,0.07
"omega.(Intercept)",0.2,-0.03,-12.75,0.03
"tau.s(ID)",0.1,0.23,228.2,0.23
"nu.s(ID)",0.1,-0.06,-55.96,0.06
"omega.te(theta,DistanceShore)",NA,NA,NA,NA
