"coeff_name","true","biais","re_biais","rmse"
"tau.s(ID).1",-0.06,0.05,-75.3,0.07
"tau.s(ID).2",0.05,-0.01,-15.18,0.06
"tau.s(ID).3",-0.17,0.12,-70.05,0.14
"tau.s(ID).4",-0.08,0.04,-44.78,0.07
"tau.s(ID).5",-0.09,0.13,-151.39,0.14
"tau.s(ID).6",-0.24,0.27,-112.04,0.28
"nu.s(ID).1",0,0.01,197.14,0.03
"nu.s(ID).2",0.02,-0.04,-184.63,0.04
"nu.s(ID).3",-0.04,0.05,-148.55,0.06
"nu.s(ID).4",0.08,-0.04,-57.9,0.05
"nu.s(ID).5",-0.07,0.04,-61.18,0.05
"nu.s(ID).6",-0.14,0.12,-86.47,0.12
"omega.te(theta,DistanceShore).1",11.04,-1.87,-16.94,2.66
"omega.te(theta,DistanceShore).2",-3.37,1.69,-50.04,2.73
"omega.te(theta,DistanceShore).3",7.64,-2.01,-26.31,2.41
"omega.te(theta,DistanceShore).4",23.24,-2.47,-10.63,4.95
"omega.te(theta,DistanceShore).5",7.37,1.66,22.5,5.84
"omega.te(theta,DistanceShore).6",41.1,-4.82,-11.72,5.23
"omega.te(theta,DistanceShore).7",2.02,-0.03,-1.35,1.71
"omega.te(theta,DistanceShore).8",10.39,-1.24,-11.89,2.26
"mu1.(Intercept)",0,0,NA,0
"mu2.(Intercept)",0,0,NA,0
"tau.(Intercept)",0,-0.16,NA,0.2
"nu.(Intercept)",1.39,-0.02,-1.77,0.07
"omega.(Intercept)",0.06,-0.09,-148.81,0.32
"tau.s(ID)",0.1,-0.03,-34.31,0.07
"nu.s(ID)",0.1,-0.06,-62.63,0.07
"omega.te(theta,DistanceShore)",NA,NA,NA,NA
