"coeff_name","true","biais","re_biais","rmse"
"tau.s(ID).1",0.15,-0.13,-88.54,0.13
"tau.s(ID).2",-0.01,0,-20.16,0
"tau.s(ID).3",0.2,-0.21,-102.04,0.21
"tau.s(ID).4",-0.01,-0.02,286,0.02
"tau.s(ID).5",0.13,-0.12,-94.65,0.12
"tau.s(ID).6",0.23,-0.22,-94.75,0.22
"nu.s(ID).1",-0.14,0.06,-44.07,0.06
"nu.s(ID).2",-0.03,0.11,-378.63,0.11
"nu.s(ID).3",-0.01,-0.01,71.71,0.01
"nu.s(ID).4",0.06,0.08,130.17,0.08
"nu.s(ID).5",-0.03,0.06,-218.26,0.06
"nu.s(ID).6",-0.27,0.1,-38.85,0.1
"omega.te(theta,DistanceShore).1",8.91,0.45,5.03,0.45
"omega.te(theta,DistanceShore).2",-3.39,0.54,-15.92,0.54
"omega.te(theta,DistanceShore).3",5.74,-1.75,-30.52,1.75
"omega.te(theta,DistanceShore).4",19.08,-1.81,-9.49,1.81
"omega.te(theta,DistanceShore).5",5.72,-5.38,-94.08,5.38
"omega.te(theta,DistanceShore).6",25.78,1.05,4.06,1.05
"omega.te(theta,DistanceShore).7",2.69,-0.7,-26.11,0.7
"omega.te(theta,DistanceShore).8",6.84,-0.47,-6.87,0.47
"mu1.(Intercept)",0,0,NA,0
"mu2.(Intercept)",0,0,NA,0
"tau.(Intercept)",0,0.12,NA,0.12
"nu.(Intercept)",1.39,-0.05,-3.45,0.05
"omega.(Intercept)",0.01,-0.53,-7651.82,0.53
"tau.s(ID)",0.1,-0.05,-48.24,0.05
"nu.s(ID)",0.1,0.01,6.19,0.01
"omega.te(theta,DistanceShore)",NA,NA,NA,NA
