"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.001,0,-0.001,-0.001
"tau.s(ID).2",0.001,0,0.001,0.001
"tau.s(ID).3",-0.002,0,-0.002,-0.002
"tau.s(ID).4",0.002,0,0.002,0.002
"tau.s(ID).5",0.003,0,0.003,0.003
"tau.s(ID).6",0,0,0,0
"tau.s(ID).7",0.002,0,0.002,0.002
"tau.s(ID).8",0,0,0,0
"tau.s(ID).9",-0.003,0,-0.003,-0.003
"tau.s(ID).10",-0.001,0,-0.001,-0.001
"tau.s(ID).11",0.002,0,0.002,0.002
"tau.s(ID).12",0,0,0,0
"nu.s(ID).1",-0.045,0,-0.045,-0.045
"nu.s(ID).2",-0.012,0,-0.012,-0.012
"nu.s(ID).3",0.248,0,0.248,0.248
"nu.s(ID).4",-0.029,0,-0.029,-0.029
"nu.s(ID).5",-0.524,0,-0.524,-0.524
"nu.s(ID).6",-0.267,0,-0.267,-0.267
"nu.s(ID).7",0.039,0,0.039,0.039
"nu.s(ID).8",-0.091,0,-0.091,-0.091
"nu.s(ID).9",0.158,0,0.158,0.158
"nu.s(ID).10",0.069,0,0.069,0.069
"nu.s(ID).11",0.044,0,0.044,0.044
"nu.s(ID).12",0.266,0,0.266,0.266
"omega.te(theta,Ishore).1",-5.745,0,-5.745,-5.745
"omega.te(theta,Ishore).2",-9.218,0,-9.218,-9.218
"omega.te(theta,Ishore).3",-9.911,0,-9.911,-9.911
"omega.te(theta,Ishore).4",-166.922,0,-166.922,-166.922
"omega.te(theta,Ishore).5",-0.384,0,-0.384,-0.384
"omega.te(theta,Ishore).6",2.75,0,2.75,2.75
"omega.te(theta,Ishore).7",-0.046,0,-0.046,-0.046
"omega.te(theta,Ishore).8",0.907,0,0.907,0.907
"omega.te(theta,Ishore).9",9.226,0,9.226,9.226
"omega.te(theta,Ishore).10",2.774,0,2.774,2.774
"omega.te(theta,Ishore).11",3.276,0,3.276,3.276
"omega.te(theta,Ishore).12",4.386,0,4.386,4.386
"omega.te(theta,Ishore).13",3.129,0,3.129,3.129
"omega.te(theta,Ishore).14",-0.263,0,-0.263,-0.263
"omega.te(theta,Ishore).15",-2.773,0,-2.773,-2.773
"omega.te(theta,Ishore).16",-1.682,0,-1.682,-1.682
"omega.te(theta,Ishore).17",-3.157,0,-3.157,-3.157
"omega.te(theta,Ishore).18",0.552,0,0.552,0.552
"omega.te(theta,Ishore).19",-2.602,0,-2.602,-2.602
"omega.te(theta,Ishore).20",-1.515,0,-1.515,-1.515
"omega.te(theta,Ishore).21",8.466,0,8.466,8.466
"omega.te(theta,Ishore).22",11.584,0,11.584,11.584
"omega.te(theta,Ishore).23",15.169,0,15.169,15.169
"omega.te(theta,Ishore).24",2.885,0,2.885,2.885
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-0.299,0,-0.299,-0.299
"nu.(Intercept)",1.159,0,1.159,1.159
"omega.(Intercept)",-0.228,0,-0.228,-0.228
"tau.s(ID)",0.027,0,0.027,0.027
"nu.s(ID)",0.226,0,0.226,0.226
"log_sigma_obs",-3.231,0,-3.231,-3.231
