"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.031,0,-0.031,-0.031
"tau.s(ID).2",0.02,0,0.02,0.02
"tau.s(ID).3",-0.055,0,-0.055,-0.055
"tau.s(ID).4",0.072,0,0.072,0.072
"tau.s(ID).5",0.065,0,0.065,0.065
"tau.s(ID).6",-0.039,0,-0.039,-0.039
"nu.s(ID).1",0.031,0,0.031,0.031
"nu.s(ID).2",0.091,0,0.091,0.091
"nu.s(ID).3",0.316,0,0.316,0.316
"nu.s(ID).4",0.059,0,0.059,0.059
"nu.s(ID).5",-0.439,0,-0.439,-0.439
"nu.s(ID).6",-0.18,0,-0.18,-0.18
"omega.te(theta,Ishore).1",-9.198,0,-9.198,-9.198
"omega.te(theta,Ishore).2",-12.292,0,-12.292,-12.292
"omega.te(theta,Ishore).3",-10.943,0,-10.943,-10.943
"omega.te(theta,Ishore).4",-177.3,0,-177.3,-177.3
"omega.te(theta,Ishore).5",0.75,0,0.75,0.75
"omega.te(theta,Ishore).6",4.28,0,4.28,4.28
"omega.te(theta,Ishore).7",0.207,0,0.207,0.207
"omega.te(theta,Ishore).8",3.103,0,3.103,3.103
"omega.te(theta,Ishore).9",20.001,0,20.001,20.001
"omega.te(theta,Ishore).10",2.112,0,2.112,2.112
"omega.te(theta,Ishore).11",2.552,0,2.552,2.552
"omega.te(theta,Ishore).12",2.571,0,2.571,2.571
"omega.te(theta,Ishore).13",3.449,0,3.449,3.449
"omega.te(theta,Ishore).14",-8.906,0,-8.906,-8.906
"omega.te(theta,Ishore).15",-0.414,0,-0.414,-0.414
"omega.te(theta,Ishore).16",-0.336,0,-0.336,-0.336
"omega.te(theta,Ishore).17",-4.661,0,-4.661,-4.661
"omega.te(theta,Ishore).18",0.656,0,0.656,0.656
"omega.te(theta,Ishore).19",8.617,0,8.617,8.617
"omega.te(theta,Ishore).20",-4.469,0,-4.469,-4.469
"omega.te(theta,Ishore).21",4.82,0,4.82,4.82
"omega.te(theta,Ishore).22",11.1,0,11.1,11.1
"omega.te(theta,Ishore).23",19.904,0,19.904,19.904
"omega.te(theta,Ishore).24",60.882,0,60.882,60.882
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-0.38,0,-0.38,-0.38
"nu.(Intercept)",1.013,0,1.013,1.013
"omega.(Intercept)",-0.331,0,-0.331,-0.331
"tau.s(ID)",0.146,0,0.146,0.146
"nu.s(ID)",0.256,0,0.256,0.256
"log_sigma_obs",-3.225,0,-3.225,-3.225
