"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.002,0,-0.002,-0.002
"tau.s(ID).2",0.005,0,0.005,0.005
"tau.s(ID).3",-0.011,0,-0.011,-0.011
"tau.s(ID).4",0.006,0,0.006,0.006
"tau.s(ID).5",0.009,0,0.009,0.009
"tau.s(ID).6",-0.002,0,-0.002,-0.002
"tau.s(ID).7",0.006,0,0.006,0.006
"tau.s(ID).8",-0.004,0,-0.004,-0.004
"tau.s(ID).9",-0.01,0,-0.01,-0.01
"tau.s(ID).10",0.001,0,0.001,0.001
"tau.s(ID).11",0.005,0,0.005,0.005
"tau.s(ID).12",0.002,0,0.002,0.002
"nu.s(ID).1",-0.066,0,-0.066,-0.066
"nu.s(ID).2",-0.057,0,-0.057,-0.057
"nu.s(ID).3",0.274,0,0.274,0.274
"nu.s(ID).4",-0.018,0,-0.018,-0.018
"nu.s(ID).5",-0.464,0,-0.464,-0.464
"nu.s(ID).6",-0.233,0,-0.233,-0.233
"nu.s(ID).7",0.005,0,0.005,0.005
"nu.s(ID).8",-0.012,0,-0.012,-0.012
"nu.s(ID).9",0.16,0,0.16,0.16
"nu.s(ID).10",0.01,0,0.01,0.01
"nu.s(ID).11",0.055,0,0.055,0.055
"nu.s(ID).12",0.207,0,0.207,0.207
"omega.te(theta,Ishore).1",-3.103,0,-3.103,-3.103
"omega.te(theta,Ishore).2",-8.871,0,-8.871,-8.871
"omega.te(theta,Ishore).3",-16.337,0,-16.337,-16.337
"omega.te(theta,Ishore).4",23.265,0,23.265,23.265
"omega.te(theta,Ishore).5",1.563,0,1.563,1.563
"omega.te(theta,Ishore).6",-1.033,0,-1.033,-1.033
"omega.te(theta,Ishore).7",0.899,0,0.899,0.899
"omega.te(theta,Ishore).8",-2.614,0,-2.614,-2.614
"omega.te(theta,Ishore).9",-1.754,0,-1.754,-1.754
"omega.te(theta,Ishore).10",2.061,0,2.061,2.061
"omega.te(theta,Ishore).11",0.384,0,0.384,0.384
"omega.te(theta,Ishore).12",3.109,0,3.109,3.109
"omega.te(theta,Ishore).13",-0.56,0,-0.56,-0.56
"omega.te(theta,Ishore).14",-5.413,0,-5.413,-5.413
"omega.te(theta,Ishore).15",-3.912,0,-3.912,-3.912
"omega.te(theta,Ishore).16",-5.89,0,-5.89,-5.89
"omega.te(theta,Ishore).17",1.431,0,1.431,1.431
"omega.te(theta,Ishore).18",-3.494,0,-3.494,-3.494
"omega.te(theta,Ishore).19",-0.991,0,-0.991,-0.991
"omega.te(theta,Ishore).20",-8.415,0,-8.415,-8.415
"omega.te(theta,Ishore).21",3.041,0,3.041,3.041
"omega.te(theta,Ishore).22",8.345,0,8.345,8.345
"omega.te(theta,Ishore).23",11.054,0,11.054,11.054
"omega.te(theta,Ishore).24",85.092,0,85.092,85.092
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-0.273,0,-0.273,-0.273
"nu.(Intercept)",1.164,0,1.164,1.164
"omega.(Intercept)",-0.245,0,-0.245,-0.245
"tau.s(ID)",0.047,0,0.047,0.047
"nu.s(ID)",0.206,0,0.206,0.206
"log_sigma_obs",-3.164,0,-3.164,-3.164
