"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.045,0,-0.045,-0.045
"tau.s(ID).2",0.077,0,0.077,0.077
"tau.s(ID).3",-0.148,0,-0.148,-0.148
"tau.s(ID).4",0.134,0,0.134,0.134
"tau.s(ID).5",0.102,0,0.102,0.102
"tau.s(ID).6",-0.078,0,-0.078,-0.078
"nu.s(ID).1",0.005,0,0.005,0.005
"nu.s(ID).2",0.06,0,0.06,0.06
"nu.s(ID).3",0.323,0,0.323,0.323
"nu.s(ID).4",0.066,0,0.066,0.066
"nu.s(ID).5",-0.389,0,-0.389,-0.389
"nu.s(ID).6",-0.187,0,-0.187,-0.187
"omega.te(theta,Ishore).1",-3.101,0,-3.101,-3.101
"omega.te(theta,Ishore).2",-10.53,0,-10.53,-10.53
"omega.te(theta,Ishore).3",-17.036,0,-17.036,-17.036
"omega.te(theta,Ishore).4",9.215,0,9.215,9.215
"omega.te(theta,Ishore).5",0.838,0,0.838,0.838
"omega.te(theta,Ishore).6",-0.939,0,-0.939,-0.939
"omega.te(theta,Ishore).7",2.327,0,2.327,2.327
"omega.te(theta,Ishore).8",-3.492,0,-3.492,-3.492
"omega.te(theta,Ishore).9",-9.371,0,-9.371,-9.371
"omega.te(theta,Ishore).10",2.84,0,2.84,2.84
"omega.te(theta,Ishore).11",-0.242,0,-0.242,-0.242
"omega.te(theta,Ishore).12",2.813,0,2.813,2.813
"omega.te(theta,Ishore).13",-2.631,0,-2.631,-2.631
"omega.te(theta,Ishore).14",2.733,0,2.733,2.733
"omega.te(theta,Ishore).15",-3.814,0,-3.814,-3.814
"omega.te(theta,Ishore).16",-6.331,0,-6.331,-6.331
"omega.te(theta,Ishore).17",2.768,0,2.768,2.768
"omega.te(theta,Ishore).18",-5.684,0,-5.684,-5.684
"omega.te(theta,Ishore).19",22.622,0,22.622,22.622
"omega.te(theta,Ishore).20",-7.422,0,-7.422,-7.422
"omega.te(theta,Ishore).21",1.623,0,1.623,1.623
"omega.te(theta,Ishore).22",7.992,0,7.992,7.992
"omega.te(theta,Ishore).23",12.978,0,12.978,12.978
"omega.te(theta,Ishore).24",160.796,0,160.796,160.796
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-0.4,0,-0.4,-0.4
"nu.(Intercept)",1.008,0,1.008,1.008
"omega.(Intercept)",-0.158,0,-0.158,-0.158
"tau.s(ID)",0.208,0,0.208,0.208
"nu.s(ID)",0.249,0,0.249,0.249
"log_sigma_obs",-3.165,0,-3.165,-3.165
