"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.005,0,-0.005,-0.005
"tau.s(ID).2",0.007,0,0.007,0.007
"tau.s(ID).3",-0.014,0,-0.014,-0.014
"tau.s(ID).4",0.009,0,0.009,0.009
"tau.s(ID).5",0.007,0,0.007,0.007
"tau.s(ID).6",0.001,0,0.001,0.001
"tau.s(ID).7",0.011,0,0.011,0.011
"tau.s(ID).8",-0.002,0,-0.002,-0.002
"tau.s(ID).9",-0.007,0,-0.007,-0.007
"tau.s(ID).10",0.001,0,0.001,0.001
"tau.s(ID).11",0.001,0,0.001,0.001
"tau.s(ID).12",-0.001,0,-0.001,-0.001
"nu.s(ID).1",0.004,0,0.004,0.004
"nu.s(ID).2",-0.073,0,-0.073,-0.073
"nu.s(ID).3",0.355,0,0.355,0.355
"nu.s(ID).4",-0.077,0,-0.077,-0.077
"nu.s(ID).5",-0.437,0,-0.437,-0.437
"nu.s(ID).6",-0.3,0,-0.3,-0.3
"nu.s(ID).7",-0.066,0,-0.066,-0.066
"nu.s(ID).8",-0.073,0,-0.073,-0.073
"nu.s(ID).9",0.085,0,0.085,0.085
"nu.s(ID).10",0.007,0,0.007,0.007
"nu.s(ID).11",0.119,0,0.119,0.119
"nu.s(ID).12",0.249,0,0.249,0.249
"omega.te(theta,Ishore).1",-5.282,0,-5.282,-5.282
"omega.te(theta,Ishore).2",-9.109,0,-9.109,-9.109
"omega.te(theta,Ishore).3",-18.946,0,-18.946,-18.946
"omega.te(theta,Ishore).4",-149.74,0,-149.74,-149.74
"omega.te(theta,Ishore).5",-2.883,0,-2.883,-2.883
"omega.te(theta,Ishore).6",0.708,0,0.708,0.708
"omega.te(theta,Ishore).7",0.069,0,0.069,0.069
"omega.te(theta,Ishore).8",-1.808,0,-1.808,-1.808
"omega.te(theta,Ishore).9",-5.325,0,-5.325,-5.325
"omega.te(theta,Ishore).10",0.102,0,0.102,0.102
"omega.te(theta,Ishore).11",0.975,0,0.975,0.975
"omega.te(theta,Ishore).12",2.38,0,2.38,2.38
"omega.te(theta,Ishore).13",2.553,0,2.553,2.553
"omega.te(theta,Ishore).14",3.525,0,3.525,3.525
"omega.te(theta,Ishore).15",-0.792,0,-0.792,-0.792
"omega.te(theta,Ishore).16",-2.041,0,-2.041,-2.041
"omega.te(theta,Ishore).17",0.139,0,0.139,0.139
"omega.te(theta,Ishore).18",-1.494,0,-1.494,-1.494
"omega.te(theta,Ishore).19",-0.887,0,-0.887,-0.887
"omega.te(theta,Ishore).20",-4.505,0,-4.505,-4.505
"omega.te(theta,Ishore).21",4.508,0,4.508,4.508
"omega.te(theta,Ishore).22",8.038,0,8.038,8.038
"omega.te(theta,Ishore).23",16.914,0,16.914,16.914
"omega.te(theta,Ishore).24",14.324,0,14.324,14.324
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-0.027,0,-0.027,-0.027
"nu.(Intercept)",1.177,0,1.177,1.177
"omega.(Intercept)",-0.196,0,-0.196,-0.196
"tau.s(ID)",0.053,0,0.053,0.053
"nu.s(ID)",0.23,0,0.23,0.23
"log_sigma_obs",-3.283,0,-3.283,-3.283
