"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.168,0,-0.168,-0.168
"tau.s(ID).2",0.503,0,0.503,0.503
"tau.s(ID).3",0.037,0,0.037,0.037
"tau.s(ID).4",0.538,0,0.538,0.538
"tau.s(ID).5",-0.418,0,-0.418,-0.418
"tau.s(ID).6",-0.531,0,-0.531,-0.531
"nu.s(ID).1",-0.022,0,-0.022,-0.022
"nu.s(ID).2",0.08,0,0.08,0.08
"nu.s(ID).3",0.226,0,0.226,0.226
"nu.s(ID).4",0.131,0,0.131,0.131
"nu.s(ID).5",-0.246,0,-0.246,-0.246
"nu.s(ID).6",-0.277,0,-0.277,-0.277
"omega.te(theta,Ishore).1",-12.507,0,-12.507,-12.507
"omega.te(theta,Ishore).2",-14.601,0,-14.601,-14.601
"omega.te(theta,Ishore).3",-15.502,0,-15.502,-15.502
"omega.te(theta,Ishore).4",-11.443,0,-11.443,-11.443
"omega.te(theta,Ishore).5",0.17,0,0.17,0.17
"omega.te(theta,Ishore).6",3.188,0,3.188,3.188
"omega.te(theta,Ishore).7",-0.629,0,-0.629,-0.629
"omega.te(theta,Ishore).8",3.387,0,3.387,3.387
"omega.te(theta,Ishore).9",-3.469,0,-3.469,-3.469
"omega.te(theta,Ishore).10",2.538,0,2.538,2.538
"omega.te(theta,Ishore).11",3.102,0,3.102,3.102
"omega.te(theta,Ishore).12",0.616,0,0.616,0.616
"omega.te(theta,Ishore).13",4.271,0,4.271,4.271
"omega.te(theta,Ishore).14",-5.893,0,-5.893,-5.893
"omega.te(theta,Ishore).15",1.637,0,1.637,1.637
"omega.te(theta,Ishore).16",2.132,0,2.132,2.132
"omega.te(theta,Ishore).17",-5.34,0,-5.34,-5.34
"omega.te(theta,Ishore).18",2.267,0,2.267,2.267
"omega.te(theta,Ishore).19",-4.427,0,-4.427,-4.427
"omega.te(theta,Ishore).20",-2.963,0,-2.963,-2.963
"omega.te(theta,Ishore).21",7.455,0,7.455,7.455
"omega.te(theta,Ishore).22",14.491,0,14.491,14.491
"omega.te(theta,Ishore).23",25.643,0,25.643,25.643
"omega.te(theta,Ishore).24",54.089,0,54.089,54.089
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-1.747,0,-1.747,-1.747
"nu.(Intercept)",1.077,0,1.077,1.077
"omega.(Intercept)",-0.37,0,-0.37,-0.37
"tau.s(ID)",0.472,0,0.472,0.472
"nu.s(ID)",0.208,0,0.208,0.208
"log_sigma_obs",-16.309,0,-16.309,-16.309
