"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.128,0,-0.128,-0.128
"tau.s(ID).2",0.16,0,0.16,0.16
"tau.s(ID).3",-0.19,0,-0.19,-0.19
"tau.s(ID).4",0.373,0,0.373,0.373
"tau.s(ID).5",-0.661,0,-0.661,-0.661
"tau.s(ID).6",-0.485,0,-0.485,-0.485
"tau.s(ID).7",0.289,0,0.289,0.289
"tau.s(ID).8",-0.144,0,-0.144,-0.144
"tau.s(ID).9",-0.21,0,-0.21,-0.21
"tau.s(ID).10",0.128,0,0.128,0.128
"tau.s(ID).11",0.269,0,0.269,0.269
"tau.s(ID).12",0.58,0,0.58,0.58
"nu.s(ID).1",-0.138,0,-0.138,-0.138
"nu.s(ID).2",0.018,0,0.018,0.018
"nu.s(ID).3",0.138,0,0.138,0.138
"nu.s(ID).4",0.036,0,0.036,0.036
"nu.s(ID).5",-0.317,0,-0.317,-0.317
"nu.s(ID).6",-0.34,0,-0.34,-0.34
"nu.s(ID).7",0.117,0,0.117,0.117
"nu.s(ID).8",-0.072,0,-0.072,-0.072
"nu.s(ID).9",-0.019,0,-0.019,-0.019
"nu.s(ID).10",0.036,0,0.036,0.036
"nu.s(ID).11",0.159,0,0.159,0.159
"nu.s(ID).12",0.172,0,0.172,0.172
"omega.te(theta,Ishore).1",-7.801,0,-7.801,-7.801
"omega.te(theta,Ishore).2",-13.76,0,-13.76,-13.76
"omega.te(theta,Ishore).3",-28.075,0,-28.075,-28.075
"omega.te(theta,Ishore).4",-120.827,0,-120.827,-120.827
"omega.te(theta,Ishore).5",-0.554,0,-0.554,-0.554
"omega.te(theta,Ishore).6",1.474,0,1.474,1.474
"omega.te(theta,Ishore).7",0.025,0,0.025,0.025
"omega.te(theta,Ishore).8",0.119,0,0.119,0.119
"omega.te(theta,Ishore).9",-3.364,0,-3.364,-3.364
"omega.te(theta,Ishore).10",1.635,0,1.635,1.635
"omega.te(theta,Ishore).11",2.221,0,2.221,2.221
"omega.te(theta,Ishore).12",2.113,0,2.113,2.113
"omega.te(theta,Ishore).13",3.274,0,3.274,3.274
"omega.te(theta,Ishore).14",-3.748,0,-3.748,-3.748
"omega.te(theta,Ishore).15",-1.33,0,-1.33,-1.33
"omega.te(theta,Ishore).16",-1.243,0,-1.243,-1.243
"omega.te(theta,Ishore).17",-0.354,0,-0.354,-0.354
"omega.te(theta,Ishore).18",0.609,0,0.609,0.609
"omega.te(theta,Ishore).19",2.887,0,2.887,2.887
"omega.te(theta,Ishore).20",-3.965,0,-3.965,-3.965
"omega.te(theta,Ishore).21",3.57,0,3.57,3.57
"omega.te(theta,Ishore).22",8.423,0,8.423,8.423
"omega.te(theta,Ishore).23",17.923,0,17.923,17.923
"omega.te(theta,Ishore).24",61.918,0,61.918,61.918
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-1.601,0,-1.601,-1.601
"nu.(Intercept)",1.215,0,1.215,1.215
"omega.(Intercept)",-0.101,0,-0.101,-0.101
"tau.s(ID)",0.403,0,0.403,0.403
"nu.s(ID)",0.183,0,0.183,0.183
"log_sigma_obs",-133.595,0,-133.595,-133.595
