"coeff_names","mean","sd","low","up"
"tau.s(ID).1",0.057,0,0.057,0.057
"tau.s(ID).2",0.324,0,0.324,0.324
"tau.s(ID).3",0.102,0,0.102,0.102
"tau.s(ID).4",0.528,0,0.528,0.528
"tau.s(ID).5",-0.53,0,-0.53,-0.53
"tau.s(ID).6",-0.386,0,-0.386,-0.386
"nu.s(ID).1",-0.063,0,-0.063,-0.063
"nu.s(ID).2",0.103,0,0.103,0.103
"nu.s(ID).3",0.222,0,0.222,0.222
"nu.s(ID).4",0.124,0,0.124,0.124
"nu.s(ID).5",-0.236,0,-0.236,-0.236
"nu.s(ID).6",-0.264,0,-0.264,-0.264
"omega.te(theta,Ishore).1",-14.407,0,-14.407,-14.407
"omega.te(theta,Ishore).2",-18.669,0,-18.669,-18.669
"omega.te(theta,Ishore).3",-25.711,0,-25.711,-25.711
"omega.te(theta,Ishore).4",-108.127,0,-108.127,-108.127
"omega.te(theta,Ishore).5",0.601,0,0.601,0.601
"omega.te(theta,Ishore).6",4.088,0,4.088,4.088
"omega.te(theta,Ishore).7",-0.672,0,-0.672,-0.672
"omega.te(theta,Ishore).8",5.14,0,5.14,5.14
"omega.te(theta,Ishore).9",2.493,0,2.493,2.493
"omega.te(theta,Ishore).10",3.723,0,3.723,3.723
"omega.te(theta,Ishore).11",3.642,0,3.642,3.642
"omega.te(theta,Ishore).12",0.048,0,0.048,0.048
"omega.te(theta,Ishore).13",4.714,0,4.714,4.714
"omega.te(theta,Ishore).14",-33.305,0,-33.305,-33.305
"omega.te(theta,Ishore).15",1.437,0,1.437,1.437
"omega.te(theta,Ishore).16",3.366,0,3.366,3.366
"omega.te(theta,Ishore).17",-4.235,0,-4.235,-4.235
"omega.te(theta,Ishore).18",6.276,0,6.276,6.276
"omega.te(theta,Ishore).19",-18.679,0,-18.679,-18.679
"omega.te(theta,Ishore).20",10.036,0,10.036,10.036
"omega.te(theta,Ishore).21",8.492,0,8.492,8.492
"omega.te(theta,Ishore).22",7.641,0,7.641,7.641
"omega.te(theta,Ishore).23",8.667,0,8.667,8.667
"omega.te(theta,Ishore).24",282.805,0,282.805,282.805
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-1.859,0,-1.859,-1.859
"nu.(Intercept)",1.093,0,1.093,1.093
"omega.(Intercept)",-0.579,0,-0.579,-0.579
"tau.s(ID)",0.416,0,0.416,0.416
"nu.s(ID)",0.201,0,0.201,0.201
"log_sigma_obs",-335.47,0,-335.47,-335.47
