"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.006,0,-0.006,-0.006
"tau.s(ID).2",0.013,0,0.013,0.013
"tau.s(ID).3",-0.033,0,-0.033,-0.033
"tau.s(ID).4",0.018,0,0.018,0.018
"tau.s(ID).5",0.02,0,0.02,0.02
"tau.s(ID).6",-0.015,0,-0.015,-0.015
"nu.s(ID).1",-0.003,0,-0.003,-0.003
"nu.s(ID).2",0.082,0,0.082,0.082
"nu.s(ID).3",0.407,0,0.407,0.407
"nu.s(ID).4",0.122,0,0.122,0.122
"nu.s(ID).5",-0.437,0,-0.437,-0.437
"nu.s(ID).6",-0.194,0,-0.194,-0.194
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-0.534,0,-0.534,-0.534
"nu.(Intercept)",0.998,0,0.998,0.998
"tau.s(ID)",0.084,0,0.084,0.084
"nu.s(ID)",0.277,0,0.277,0.277
"log_sigma_obs",-3.165,0,-3.165,-3.165
