"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.002,0,-0.002,-0.002
"tau.s(ID).2",-0.001,0,-0.001,-0.001
"tau.s(ID).3",0.002,0,0.002,0.002
"tau.s(ID).4",0.001,0,0.001,0.001
"tau.s(ID).5",-0.004,0,-0.004,-0.004
"tau.s(ID).6",-0.006,0,-0.006,-0.006
"tau.s(ID).7",0.004,0,0.004,0.004
"tau.s(ID).8",-0.003,0,-0.003,-0.003
"tau.s(ID).9",0,0,0,0
"tau.s(ID).10",0,0,0,0
"tau.s(ID).11",0.005,0,0.005,0.005
"tau.s(ID).12",0.005,0,0.005,0.005
"nu.s(ID).1",-0.041,0,-0.041,-0.041
"nu.s(ID).2",-0.013,0,-0.013,-0.013
"nu.s(ID).3",0.049,0,0.049,0.049
"nu.s(ID).4",0.014,0,0.014,0.014
"nu.s(ID).5",-0.094,0,-0.094,-0.094
"nu.s(ID).6",-0.14,0,-0.14,-0.14
"nu.s(ID).7",0.08,0,0.08,0.08
"nu.s(ID).8",-0.063,0,-0.063,-0.063
"nu.s(ID).9",-0.005,0,-0.005,-0.005
"nu.s(ID).10",-0.003,0,-0.003,-0.003
"nu.s(ID).11",0.1,0,0.1,0.1
"nu.s(ID).12",0.108,0,0.108,0.108
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-65.814,0,-65.814,-65.814
"nu.(Intercept)",32.211,0,32.211,32.211
"tau.s(ID)",0.024,0,0.024,0.024
"nu.s(ID)",0.079,0,0.079,0.079
"log_sigma_obs",-1005.221,0,-1005.221,-1005.221
