"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.281,0,-0.281,-0.281
"tau.s(ID).2",0.214,0,0.214,0.214
"tau.s(ID).3",-0.203,0,-0.203,-0.203
"tau.s(ID).4",0.204,0,0.204,0.204
"tau.s(ID).5",-0.472,0,-0.472,-0.472
"tau.s(ID).6",-0.602,0,-0.602,-0.602
"tau.s(ID).7",0.289,0,0.289,0.289
"tau.s(ID).8",0.016,0,0.016,0.016
"tau.s(ID).9",-0.124,0,-0.124,-0.124
"tau.s(ID).10",0.078,0,0.078,0.078
"tau.s(ID).11",0.362,0,0.362,0.362
"tau.s(ID).12",0.336,0,0.336,0.336
"nu.s(ID).1",-0.093,0,-0.093,-0.093
"nu.s(ID).2",-0.001,0,-0.001,-0.001
"nu.s(ID).3",0.143,0,0.143,0.143
"nu.s(ID).4",0.058,0,0.058,0.058
"nu.s(ID).5",-0.295,0,-0.295,-0.295
"nu.s(ID).6",-0.325,0,-0.325,-0.325
"nu.s(ID).7",0.109,0,0.109,0.109
"nu.s(ID).8",-0.114,0,-0.114,-0.114
"nu.s(ID).9",-0.025,0,-0.025,-0.025
"nu.s(ID).10",0.047,0,0.047,0.047
"nu.s(ID).11",0.127,0,0.127,0.127
"nu.s(ID).12",0.21,0,0.21,0.21
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-1.489,0,-1.489,-1.489
"nu.(Intercept)",1.196,0,1.196,1.196
"tau.s(ID)",0.367,0,0.367,0.367
"nu.s(ID)",0.18,0,0.18,0.18
"log_sigma_obs",-133.551,0,-133.551,-133.551
