"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.108,0,-0.108,-0.108
"tau.s(ID).2",0.422,0,0.422,0.422
"tau.s(ID).3",0.008,0,0.008,0.008
"tau.s(ID).4",0.422,0,0.422,0.422
"tau.s(ID).5",-0.345,0,-0.345,-0.345
"tau.s(ID).6",-0.485,0,-0.485,-0.485
"nu.s(ID).1",-0.022,0,-0.022,-0.022
"nu.s(ID).2",0.076,0,0.076,0.076
"nu.s(ID).3",0.23,0,0.23,0.23
"nu.s(ID).4",0.14,0,0.14,0.14
"nu.s(ID).5",-0.238,0,-0.238,-0.238
"nu.s(ID).6",-0.266,0,-0.266,-0.266
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-1.803,0,-1.803,-1.803
"nu.(Intercept)",1.076,0,1.076,1.076
"tau.s(ID)",0.401,0,0.401,0.401
"nu.s(ID)",0.199,0,0.199,0.199
"log_sigma_obs",-69.564,0,-69.564,-69.564
