"coeff_names","mean","sd","low","up"
"tau.s(ID).1",-0.084,0,-0.084,-0.084
"tau.s(ID).2",0.16,0,0.16,0.16
"tau.s(ID).3",-0.227,0,-0.227,-0.227
"tau.s(ID).4",0.314,0,0.314,0.314
"tau.s(ID).5",-0.584,0,-0.584,-0.584
"tau.s(ID).6",-0.407,0,-0.407,-0.407
"tau.s(ID).7",0.233,0,0.233,0.233
"tau.s(ID).8",-0.147,0,-0.147,-0.147
"tau.s(ID).9",-0.212,0,-0.212,-0.212
"tau.s(ID).10",0.099,0,0.099,0.099
"tau.s(ID).11",0.25,0,0.25,0.25
"tau.s(ID).12",0.441,0,0.441,0.441
"nu.s(ID).1",-0.14,0,-0.14,-0.14
"nu.s(ID).2",0.014,0,0.014,0.014
"nu.s(ID).3",0.148,0,0.148,0.148
"nu.s(ID).4",0.039,0,0.039,0.039
"nu.s(ID).5",-0.31,0,-0.31,-0.31
"nu.s(ID).6",-0.336,0,-0.336,-0.336
"nu.s(ID).7",0.124,0,0.124,0.124
"nu.s(ID).8",-0.069,0,-0.069,-0.069
"nu.s(ID).9",-0.014,0,-0.014,-0.014
"nu.s(ID).10",0.039,0,0.039,0.039
"nu.s(ID).11",0.159,0,0.159,0.159
"nu.s(ID).12",0.192,0,0.192,0.192
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-1.645,0,-1.645,-1.645
"nu.(Intercept)",1.215,0,1.215,1.215
"tau.s(ID)",0.358,0,0.358,0.358
"nu.s(ID)",0.184,0,0.184,0.184
"log_sigma_obs",-127.956,0,-127.956,-127.956
