"coeff_names","mean","sd","low","up"
"tau.s(ID).1",0.04,0,0.04,0.04
"tau.s(ID).2",0.313,0,0.313,0.313
"tau.s(ID).3",-0.076,0,-0.076,-0.076
"tau.s(ID).4",0.481,0,0.481,0.481
"tau.s(ID).5",-0.507,0,-0.507,-0.507
"tau.s(ID).6",-0.33,0,-0.33,-0.33
"nu.s(ID).1",-0.061,0,-0.061,-0.061
"nu.s(ID).2",0.104,0,0.104,0.104
"nu.s(ID).3",0.244,0,0.244,0.244
"nu.s(ID).4",0.133,0,0.133,0.133
"nu.s(ID).5",-0.234,0,-0.234,-0.234
"nu.s(ID).6",-0.267,0,-0.267,-0.267
"mu1.(Intercept)",0,0,0,0
"mu2.(Intercept)",0,0,0,0
"tau.(Intercept)",-1.88,0,-1.88,-1.88
"nu.(Intercept)",1.091,0,1.091,1.091
"tau.s(ID)",0.397,0,0.397,0.397
"nu.s(ID)",0.204,0,0.204,0.204
"log_sigma_obs",-67.251,0,-67.251,-67.251
