"coeff_name","true","mean","sd","biais","re_biais","rmse"
"tau.s(ID).1",-0.086,-0.151,0.195,-0.064,74.748,0.205
"tau.s(ID).2",0.131,0.033,0.162,-0.098,-75.035,0.189
"tau.s(ID).3",0.064,-0.029,0.152,-0.093,-144.294,0.178
"tau.s(ID).4",-0.157,-0.155,0.174,0.001,-0.884,0.174
"tau.s(ID).5",0.315,0.233,0.264,-0.082,-25.934,0.276
"tau.s(ID).6",0.129,0.036,0.178,-0.093,-72.35,0.201
"nu.s(ID).1",0.009,0.038,0.058,0.029,319.176,0.065
"nu.s(ID).2",0.028,0.025,0.057,-0.003,-10.983,0.057
"nu.s(ID).3",0.068,0.077,0.063,0.009,13.097,0.063
"nu.s(ID).4",0.009,0.039,0.063,0.03,331.503,0.069
"nu.s(ID).5",-0.299,-0.232,0.113,0.067,-22.425,0.131
"nu.s(ID).6",0.028,0.031,0.065,0.003,9.352,0.065
"omega.te(theta,DistanceShore).1",8.871,5.751,2.25,-3.12,-35.171,3.847
"omega.te(theta,DistanceShore).2",-2.536,0.42,2.544,2.956,-116.545,3.9
"omega.te(theta,DistanceShore).3",6.716,6.1,1.153,-0.616,-9.174,1.307
"omega.te(theta,DistanceShore).4",22.498,16.491,7.029,-6.007,-26.698,9.246
"omega.te(theta,DistanceShore).5",6.734,5.794,4.583,-0.939,-13.951,4.679
"omega.te(theta,DistanceShore).6",30.879,24.904,4.026,-5.975,-19.349,7.204
"omega.te(theta,DistanceShore).7",4.778,4.776,1.501,-0.002,-0.035,1.501
"omega.te(theta,DistanceShore).8",6.618,3.792,1.628,-2.826,-42.701,3.261
"tau.(Intercept)",0.405,0.081,0.114,-0.325,-80.06,0.344
"nu.(Intercept)",1.386,1.355,0.033,-0.032,-2.277,0.046
"omega.(Intercept)",0.022,0.007,0.098,-0.015,-69.193,0.099
"tau.s(ID)",0.2,0.223,0.119,0.023,11.309,0.121
"nu.s(ID)",0.1,0.125,0.049,0.025,24.816,0.055
"omega.te(theta,DistanceShore).9",-0.086,0.16,1.297,0.161,-186.416,1.326
"omega.te(theta,DistanceShore).10",0.131,-0.028,0.228,-0.03,-22.86,0.247
"omega.te(theta,DistanceShore).11",0.064,0.073,0.589,0.072,111.139,0.59
"omega.te(theta,DistanceShore).12",-0.157,0.296,2.407,0.299,-190.465,2.462
"omega.te(theta,DistanceShore).13",0.315,0.105,0.852,0.1,31.816,0.827
"omega.te(theta,DistanceShore).14",0.129,-0.034,0.277,-0.036,-27.946,0.296
"omega.te(theta,DistanceShore).15",0.009,0.05,0.404,0.05,552.216,0.409
